Track ID,Track Name,Artist Name,Frequency
0UOG0zUn7t8m8QcxfzR7AH,"Merry Christmas, Please Don't Call",Bleachers,51
4Bsf8Pzli5MQv9zLF9KXqc,Unakkul Naane,Harris Jayaraj,40
56xHMIfQPoe0prrSi3BGhf,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,13
5RgFlk1fcClZd0Y4SGYhqH,She's Always a Woman,Billy Joel,12
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,11
4U45aEWtQhrm8A5mxPaFZ7,Vienna,Billy Joel,9
3S4ELYAcxunw60elgJwAwn,Maalai Neram,G. V. Prakash,9
2fuYa3Lx06QQJAm0MjztKr,Let Down,Radiohead,9
2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx,9
09Z6o1yu596HJAwWZxTz4m,Othaiyadi Pathayila,Dhibu Ninan Thomas,9
7brQHA2CgQpcMBiOlfiXYb,Afraid,The Neighbourhood,8
70C4NyhjD5OZUMzvWZ3njJ,Piano Man,Billy Joel,8
6SrvijeageGUiFu9iCDdmM,Me & You Together Song,The 1975,8
6K8VQ84MqhsoakN5MjrnVR,Supercut,Lorde,8
5bcA1tKUgH4TKCxV3l7KfJ,Karu Karu,Harris Jayaraj,8
4r0KYf0DDzrUdr9NSwAXpm,The Hindu Times,Oasis,8
1fDsrQ23eTAVFElUMaf38X,American Pie,Don McLean,8
5YciOakY5dB5dULkiLdCaf,Stop Crying Your Heart Out,Oasis,7
45K3uOEsbrE2Jkegqiu9sm,Newyork Nagaram,A.R. Rahman,7
3TgMcrV32NUKjEG2ujn9eh,It's Not Living (If It's Not With You),The 1975,7
2MvvoeRt8NcOXWESkxWn3g,Ribs,Lorde,7
7h6lpVuSGPW6RNjDXKpYDh,The Sound,The 1975,6
5L95vS64rG1YMIFm1hLjyZ,Rollercoaster,Bleachers,6
5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,6
3h4h7LYcudzLLRX2dJU6st,Africa,TOTO,6
1BwhFXqoIsePt21WyWIttb,I Wanna Get Better,Bleachers,6
6z1Xz89avh1KA7d3Ek7DQP,Half the World Away - Remastered,Oasis,5
5qqabIl2vWzo9ApSC317sa,Wonderwall - Remastered,Oasis,5
5SgReZZHzHj9mUzJWBBvr4,Aye Sinamika,A.R. Rahman,5
5GbVzc6Ex5LYlLJqzRQhuy,Mystery of Love,Sufjan Stevens,5
55sjufBuTu8NCsi6D7RBOb,Peela Peela,Anirudh Ravichander,5
3ySU5vwQB33iGulwcUL9qQ,Don't Take The Money,Bleachers,5
3qTNm4Mta37YmEcLeQcdw3,Oru Devathai,Yuvan Shankar Raja,5
2DnJjbjNTV9Nd5NOa1KGba,You're So Vain,Carly Simon,5
0pJW1Xw3aY4Eh6k5iuBkfI,I Know The End,Phoebe Bridgers,5
7mMkw0JFKnyMS6oGRT6b3O,Mannipaaya,A.R. Rahman,4
7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,G. V. Prakash,4
7dFqLUWUZ7CKsEAFwf3d4H,Yaaro Manathile,Harris Jayaraj,4
6aQIGqAo9PxRKjUkhYtR6R,"Hayyoda (From ""Jawan"")",Anirudh Ravichander,4
68kb4S1XJcLO9jn6sDwSU1,Kannukkul Kannai,A.R. Rahman,4
5LqT9B52dzjMBqeS48n9hQ,Mei Nigara,A.R. Rahman,4
4NQBqInyE7zvjIiP4j1dmy,Sirikkadhey,Anirudh Ravichander,4
4LK8863ScRhhT6hitFfBI5,Aval,Santhosh Narayanan,4
3Tgv4rvWBVwnbmUTlJwzk0,Do I Wanna Know? - Live At the BBC,Hozier,4
2gANywSFYF58YFMPdDSAjC,Stand by Me,Oasis,4
2AX5E86cn9n2dgioZEjirI,Golden Brown,The Stranglers,4
25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,Wheatus,4
1KgfeuVn5OlsBEtoEmBa1t,Live Forever,Oasis,4
0UvCh63URrLFcPkKt99hHd,Don't Look Back in Anger - Remastered,Oasis,4
00bHxCcteaAJhU5WiP1mtf,Unakkenna Venum Sollu,Harris Jayaraj,4
7FMudQFEInauBuk4OP1yhT,"La Vie En Rose - From ""How I Met Your Mother: Season 9""",Cristin Milioti,3
73jVPicY2G9YHmzgjk69ae,Robbers,The 1975,3
6sPW145Y3LSXd4p1LjBOcS,Kanave Kanave,Anirudh Ravichander,3
6dZCuf6SGn2rh9q94JBLlv,Idhu Varai,Yuvan Shankar Raja,3
6aACwXDIHQXIP097DT8WfE,Chillena,G. V. Prakash,3
6Kkt27YmFyIFrcX3QXFi2o,Liability,Lorde,3
612bl0KHzyyxEhPzuMqM6e,Golden Brown - Slowed Down Version,The Stranglers,3
5RebYkboApCX2DID83Lm2H,"Bodhai Kodhai - From ""Ondraga Originals""",Karthik,3
52ojopYMUzeNcudsoz7O9D,"New Person, Same Old Mistakes",Tame Impala,3
50cVjabUOrghvK6QAXp7YU,Naana Thaana,Anirudh Ravichander,3
4QROxOGtSMviE3NydK7Hpo,"Yennai Maatrum Kadhale (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander,3
4JGKZS7h4Qa16gOU3oNETV,Dreams,The Cranberries,3
42ON67EVCaJpihkP2U38n7,Saarattu Vandiyila,A.R. Rahman,3
3mrFhHALZLJ4ZIEiS5IPy1,Endrendrum Punnagai,Srinivas,3
3cbNkWW8PShnP2CexDqOCP,Avalum Naanum,A.R. Rahman,3
3QjFIgGhcrPS4VjkIYOddf,Sirukki Vaasam,Santhosh Narayanan,3
2vlR5QFDv26aIctbUDK6jj,"Aga Naga (From ""Ponniyin Selvan Part-2"")",A.R. Rahman,3
2WO5nzB7QtKn9ZRc9Jkalt,Annul Maelae,Harris Jayaraj,3
2LmwUKeGCJZUKHKwOrX3Xb,Hello - Remastered,Oasis,3
2HqFDI6vgNmUcqLYlNZqE6,"Udhungada Sangu (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,3
2109dBho14Lqh2wr8goqAP,Enna Solla - The New Life of Tamizh,Anirudh Ravichander,3
1zAkNzJZVPrWDCnowb1vpZ,Oh Penne,Anirudh Ravichander,3
1klDPm7SfsS32hl7KHV9iy,Stuck In A Moment You Can't Get Out Of,U2,3
1jJci4qxiYcOHhQR247rEU,Kids,MGMT,3
1hJ6KojJObbRvjuVj8Ezya,Paper Houses,Niall Horan,3
1QuZBM0iHDlr1oRVyeZypC,Anbil Avan,A.R. Rahman,3
1AbSrAwrzuC3FcDXoYi3ED,Naan Nee,Santhosh Narayanan,3
0awZMpokrVSdvtYe1MdcWM,Morning Glory - Remastered,Oasis,3
0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,3
0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr,3
05CNnC9ugYgnJgg6fIgyeQ,Roll with It - Remastered,Oasis,3
7yDh4GJAoiAJJg2lPaSt4X,Songbird,Oasis,2
7iPlcFvOMOzt6v0QvcAueZ,I Always Wanna Die (Sometimes),The 1975,2
7hMKAmUlUUYa5qEiHWK4bk,Pookkal Pookkum,G. V. Prakash,2
7gwuIhFmNaf3wcRWG1WadD,Nallai Allai,A.R. Rahman,2
7ARveOiD31w2Nq0n5FsSf8,Perfect Places,Lorde,2
6zdikHQs2PBFgGIZBxqOeV,Po Nee Po - The Pain of Love,Anirudh Ravichander,2
6tyMmVWrbRnjkYgqZs62Gq,Endhan Kann Munnae,Aalaap Raju,2
6sewH6rrJZeM40FdCxbJP8,Mazhai Varum - Female,Joshua Sridhar,2
6sAdmaffuMijDszeFrGF1H,"Enakenna Yaarum Illaye (From ""Aakko"")",Anirudh Ravichander,2
6qBLachpHaVUmpHKWyesmq,"Neeyum Naanum (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander,2
6TvxPS4fj4LUdjw2es4g21,Slipping Through My Fingers,ABBA,2
6SRzIqukq69xlvVoTSmrW5,So Baby,Anirudh Ravichander,2
