Date,Time,Track ID,Track Name,Artist Name
2025-07-29,18:21:06,4U45aEWtQhrm8A5mxPaFZ7,Vienna,Billy Joel
2025-07-29,18:17:30,3qTNm4Mta37YmEcLeQcdw3,Oru Devathai,Yuvan Shankar Raja
2025-07-29,18:12:33,0FTmksd2dxiE5e3rWyJXs6,back to friends,sombr
2025-07-29,18:09:14,2MvvoeRt8NcOXWESkxWn3g,Ribs,Lorde
2025-07-29,18:04:54,3Tgv4rvWBVwnbmUTlJwzk0,Do I Wanna Know? - Live At the BBC,Hozier
2025-07-29,18:00:36,2RdEC8Ff83WkX7kDVCHseE,party 4 u,Charli xcx
2025-07-29,17:55:39,5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo
2025-07-29,17:51:49,6K8VQ84MqhsoakN5MjrnVR,Supercut,Lorde
2025-07-29,17:47:11,7h6lpVuSGPW6RNjDXKpYDh,The Sound,The 1975
2025-07-29,17:43:01,09Z6o1yu596HJAwWZxTz4m,Othaiyadi Pathayila,Dhibu Ninan Thomas
2025-07-29,17:38:52,1jJci4qxiYcOHhQR247rEU,Kids,MGMT
2025-07-29,17:33:39,2DnJjbjNTV9Nd5NOa1KGba,You're So Vain,Carly Simon
2025-07-29,17:29:20,52ojopYMUzeNcudsoz7O9D,"New Person, Same Old Mistakes",Tame Impala
2025-07-29,17:23:16,3TgMcrV32NUKjEG2ujn9eh,It's Not Living (If It's Not With You),The 1975
2025-07-29,17:19:07,1fDsrQ23eTAVFElUMaf38X,American Pie,Don McLean
2025-07-29,17:03:15,14dJexYlvd3t3XAtD1pYW1,Oh Caroline,The 1975
2025-07-29,16:49:41,25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,Wheatus
2025-07-29,14:47:52,4U45aEWtQhrm8A5mxPaFZ7,Vienna,Billy Joel
2025-07-29,14:44:20,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police
2025-07-29,14:24:29,7lnRiEP7BHXuILXNY9MH8f,Otha Sollaala,G. V. Prakash
2025-07-29,14:24:18,4G3Qh2Xsblt3d2vm6exYi5,Ovvundraai Thirudugiraai,D. Imman
